place_id,loc_lat,loc_lon,point_number
0,55.872837,37.901507,0
0,55.8795,37.893457,1
0,55.885295,37.90991,2
0,55.870677,37.903348,3
1,55.9836,37.838493,0
1,55.989143,37.839898,1
1,55.987731,37.845145,2
1,55.98648,37.846811,3
2,55.579583,37.980811,0
2,55.591676,37.979905,1
2,55.59191,37.989493,2
2,55.584434,37.988839,3
3,55.69618,37.833872,0
3,55.714768,37.834345,1
3,55.711852,37.845917,2
3,55.698059,37.837852,3
4,55.549906,37.584858,0
4,55.552741,37.584409,1
4,55.552643,37.602,2
4,55.551392,37.596975,3
5,55.558296,37.724483,0
5,55.568071,37.716867,1
5,55.570972,37.727134,2
5,55.557366,37.728973,3
6,55.5091,37.645004,0
6,55.523088,37.646586,1
6,55.525568,37.655395,2
6,55.510235,37.658027,3
7,55.877765,37.622649,0
7,55.892392,37.627609,1
7,55.890892,37.636717,2
7,55.878735,37.638141,3
8,55.720894,37.981226,0
8,55.726464,37.987676,1
8,55.731276,37.996409,2
8,55.717315,37.997368,3
9,55.751896,37.671317,0
9,55.76535,37.664567,1
9,55.766126,37.679119,2
9,55.748721,37.673826,3
10,55.755804,37.822482,0
10,55.767103,37.820761,1
10,55.770168,37.835703,2
10,55.763961,37.834481,3
11,55.76565,37.822106,0
11,55.781197,37.829079,1
11,55.783536,37.838842,2
11,55.772065,37.838239,3
12,55.70233,37.741266,0
12,55.709282,37.747005,1
12,55.710316,37.751512,2
12,55.701297,37.756351,3
13,55.596826,37.784973,0
13,55.607273,37.785482,1
13,55.602358,37.794815,2
13,55.598174,37.796098,3
14,55.580965,37.72771,0
14,55.590872,37.733361,1
14,55.585878,37.744369,2
14,55.582246,37.737679,3
15,55.848665,37.869134,0
15,55.854914,37.871919,1
15,55.851312,37.878224,2
15,55.846077,37.879987,3
16,55.722448,37.791603,0
16,55.735027,37.795333,1
16,55.735862,37.803587,2
16,55.722324,37.802848,3
17,55.510749,37.695014,0
17,55.524427,37.6855,1
17,55.52234,37.702084,2
17,55.511617,37.703291,3
18,55.606057,37.710899,0
18,55.613422,37.716674,1
18,55.61593,37.724615,2
18,55.596517,37.726743,3
19,55.910036,37.516715,0
19,55.925443,37.516431,1
19,55.922514,37.528332,2
19,55.914987,37.524905,3
20,55.674972,37.961426,0
20,55.689513,37.961133,1
20,55.682525,37.977564,2
20,55.672296,37.971516,3
21,55.756011,37.673883,0
21,55.775393,37.676248,1
21,55.774124,37.680386,2
21,55.765303,37.678393,3
22,55.918046,37.779261,0
22,55.930648,37.783473,1
22,55.926209,37.791493,2
22,55.921972,37.791366,3
23,55.606072,37.659316,0
23,55.61796,37.66672,1
23,55.619021,37.670077,2
23,55.615439,37.676307,3
24,55.859725,37.735265,0
24,55.869078,37.734096,1
24,55.874543,37.748439,2
24,55.85645,37.747312,3
25,55.755318,37.982526,0
25,55.766413,37.979368,1
25,55.762846,37.989614,2
25,55.758019,37.992734,3
26,55.923087,37.6783,0
26,55.924655,37.678026,1
26,55.931041,37.68867,2
26,55.922612,37.690154,3
27,55.662636,37.696533,0
27,55.679559,37.701809,1
27,55.679972,37.710027,2
27,55.666731,37.712051,3
28,55.689306,37.871583,0
28,55.706452,37.876156,1
28,55.701667,37.879291,2
28,55.698084,37.88471,3
29,55.68607,37.574949,0
29,55.698615,37.568895,1
29,55.696129,37.576113,2
29,55.688618,37.582693,3
30,55.722886,37.981541,0
30,55.72361,37.982079,1
30,55.730254,37.993641,2
30,55.721124,37.990655,3
31,55.721506,37.796211,0
31,55.732759,37.790161,1
31,55.73715,37.802566,2
31,55.72894,37.804237,3
32,55.749668,37.650358,0
32,55.759176,37.649546,1
32,55.759359,37.662529,2
32,55.744983,37.658754,3
33,55.896442,37.973894,0
33,55.910789,37.978386,1
33,55.904231,37.987782,2
33,55.899221,37.982879,3
34,55.613499,37.979088,0
34,55.626305,37.974072,1
34,55.618498,37.98929,2
34,55.615944,37.985344,3
35,55.925833,37.516725,0
35,55.932478,37.515953,1
35,55.934358,37.528103,2
35,55.920349,37.523824,3
36,55.653891,37.696153,0
36,55.666775,37.69495,1
36,55.668678,37.704897,2
36,55.660309,37.699795,3
37,55.765038,37.973797,0
37,55.77429,37.970276,1
37,55.777293,37.984459,2
37,55.767982,37.981091,3
38,55.631825,37.616318,0
38,55.645801,37.620138,1
38,55.644086,37.626867,2
38,55.631129,37.622579,3
39,55.597766,37.731128,0
39,55.604553,37.734043,1
39,55.611092,37.749505,2
39,55.592792,37.747663,3
40,55.830458,37.946315,0
40,55.845343,37.942002,1
40,55.83973,37.948007,2
40,55.83129,37.949117,3
41,55.858969,37.534769,0
41,55.8727,37.533141,1
41,55.873932,37.543532,2
41,55.859273,37.548953,3
42,55.804305,37.767637,0
42,55.809224,37.767424,1
42,55.810184,37.768921,2
42,55.796032,37.77082,3
43,55.921841,37.851327,0
43,55.93146,37.851585,1
43,55.934591,37.867292,2
43,55.927275,37.860742,3
44,55.896375,37.557675,0
44,55.905437,37.555813,1
44,55.901727,37.567264,2
44,55.894293,37.572927,3
45,55.571596,37.807337,0
45,55.581842,37.811806,1
45,55.582832,37.820149,2
45,55.571481,37.822249,3
46,55.917814,37.505023,0
46,55.931414,37.504508,1
46,55.936649,37.516378,2
46,55.920016,37.523196,3
47,55.967946,37.732594,0
47,55.973262,37.73164,1
47,55.974386,37.741988,2
47,55.96818,37.743449,3
48,55.777295,37.605655,0
48,55.785209,37.601425,1
48,55.789928,37.610488,2
48,55.776048,37.615251,3
49,55.679072,37.970472,0
49,55.688693,37.967551,1
49,55.687779,37.9736,2
49,55.678722,37.97771,3
50,55.809103,37.879742,0
50,55.821057,37.884279,1
50,55.822802,37.892616,2
50,55.806379,37.893775,3
51,55.703401,37.556491,0
51,55.715579,37.561822,1
51,55.715978,37.574636,2
51,55.706864,37.569301,3
52,55.715873,37.819323,0
52,55.721373,37.818723,1
52,55.725506,37.83518,2
52,55.715846,37.830572,3
53,55.605391,37.547069,0
53,55.606002,37.545597,1
53,55.610764,37.558218,2
53,55.602924,37.553538,3
54,55.846677,37.811505,0
54,55.849929,37.811033,1
54,55.852971,37.81346,2
54,55.841941,37.819335,3
55,55.748388,37.85455,0
55,55.760691,37.848651,1
55,55.760131,37.864023,2
55,55.746274,37.862754,3
56,55.803769,37.683651,0
56,55.813909,37.680817,1
56,55.819024,37.692938,2
56,55.812064,37.68634,3
57,55.513125,37.959618,0
